id,eco,name,epd,pgn,key
1,A00,Amar Opening,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -,1. Nh3,-3891767894834006809
2,A00,Amar Opening: Paris Gambit,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -,1. Nh3 d5 2. g3 e5 3. f4,-6049040030800974718
3,A00,"Amar Opening: Paris Gambit, Gent Gambit",rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,3617965644377173328
4,A00,Amsterdam Attack,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,-1845626667947278471
5,A00,Anderssen's Opening,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -,1. a3,-8929706928488463596
6,A00,Anderssen's Opening: Polish Gambit,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -,1. a3 a5 2. b4,4052288970863375421
7,A00,Barnes Opening,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -,1. f3,3992553695685340836
8,A00,Barnes Opening: Fool's Mate,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -,1. f3 e5 2. g4 Qh4#,3455178841658768973
9,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,4717416461915746374
10,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -,1. f3 f5 2. e4 fxe4 3. Nc3,-6748650685086430515
11,A00,Barnes Opening: Hammerschlag,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq -,1. f3 e5 2. Kf2,-3958776039771699115
12,A00,Clemenz Opening,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -,1. h3,-6250071024317494293
13,A00,Clemenz Opening: Spike Lee Gambit,rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -,1. h3 h5 2. g4,5532981664219040478
14,A00,Creepy Crawly Formation: Classical Defense,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -,1. h3 d5 2. a3 e5,-6246330343116642683
15,A00,Formation: Hippopotamus Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -,1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3,-4543347750561837663
16,A00,Formation: Shy Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -,1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3,2061755170027165260
17,A00,Global Opening,rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -,1. h3 e5 2. a3,-7246674779425663999
18,A00,Grob Opening,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,1. g4,-6137364790292560360
